Close,High,Low,Open,Volume,MA50,RSI,MACD,Signal
GC=F,GC=F,GC=F,GC=F,GC=F,,,,
1153.300048828125,1162.300048828125,1150.0999755859375,1159.699951171875,56,1224.7859936523437,24.292519033861495,-20.863105410846174,HOLD
1148.300048828125,1158.199951171875,1144.300048828125,1153.5999755859375,71,1224.0319946289062,19.253307428467252,-21.116912544887782,HOLD
1151.4000244140625,1174.300048828125,1147.0,1148.699951171875,112,1222.9819946289062,13.715829528158295,-20.831305853565482,HOLD
1169.0999755859375,1171.5999755859375,1159.300048828125,1171.5999755859375,39,1221.9779931640626,27.081173416754353,-18.979822454192117,HOLD
1184.800048828125,1185.4000244140625,1171.0,1171.0,54,1221.4619946289063,39.16752127276255,-16.078552812514545,HOLD
1188.0,1188.0,1181.199951171875,1181.5999755859375,5,1221.053994140625,42.39545138083082,-13.37049059944161,HOLD
1191.699951171875,1193.0,1186.0,1188.0,411,1220.5679931640625,45.78198383119836,-10.8050426204029,HOLD
1197.300048828125,1199.199951171875,1192.5,1192.5,11,1219.8599951171875,50.65790454905804,-8.23048956239927,HOLD
1205.0999755859375,1213.699951171875,1198.199951171875,1198.199951171875,68,1219.2759936523437,74.8785965494458,-5.504192847597096,SELL
1199.800048828125,1199.800048828125,1196.300048828125,1197.0,172260,1218.583994140625,69.55504383237778,-3.724283580746942,HOLD
1184.800048828125,1198.5,1181.5999755859375,1198.0,37990,1216.98599609375,63.124378135268465,-3.47304816025553,HOLD
1183.0999755859375,1190.0999755859375,1178.199951171875,1185.800048828125,3409,1215.1099951171875,68.75000883031525,-3.3710682311570963,HOLD
1208.0999755859375,1208.199951171875,1181.0,1182.9000244140625,1632,1213.3879956054689,75.45454545454545,-1.2741023223893535,SELL
1200.9000244140625,1205.699951171875,1194.800048828125,1204.0,1684,1211.5319970703124,70.69411698252941,-0.18698204107704441,SELL
1218.5999755859375,1224.199951171875,1209.9000244140625,1209.9000244140625,343,1209.8899975585937,74.42034787800988,2.0692404043511488,HOLD
1210.5999755859375,1214.800048828125,1208.199951171875,1214.800048828125,406,1208.2499975585938,72.78712678986824,3.1789882184871203,HOLD
1203.0999755859375,1211.4000244140625,1197.5999755859375,1208.9000244140625,236,1206.7239965820313,68.32034190104595,3.417287878376328,HOLD
1193.5999755859375,1202.5,1193.0,1201.699951171875,521,1204.7619970703124,59.21746350747119,2.8112229004007077,HOLD
1204.5999755859375,1209.5999755859375,1195.800048828125,1195.800048828125,202,1203.13599609375,57.722290621045445,3.1774971808681585,HOLD
1199.300048828125,1208.0999755859375,1198.300048828125,1208.0999755859375,424,1202.0299975585938,54.3361725887564,3.007363732960357,HOLD
1192.800048828125,1200.5999755859375,1184.0999755859375,1198.800048828125,546,1200.3159985351563,50.41326028060611,2.323466297197456,HOLD
1201.5,1203.0999755859375,1188.5999755859375,1194.5999755859375,196,1198.8219995117188,51.541835611625565,2.4524640157067097,HOLD
1198.0,1208.5,1194.5999755859375,1204.300048828125,199,1197.5880004882813,47.30857186751231,2.2473762171973704,HOLD
1202.9000244140625,1206.0,1200.199951171875,1200.199951171875,21,1196.37,51.178699035597226,2.450643185043191,HOLD
1193.5,1206.9000244140625,1191.0,1205.699951171875,67,1195.0,53.45510640195777,1.8344330663280743,HOLD
1202.9000244140625,1202.9000244140625,1192.800048828125,1193.199951171875,33,1194.38,57.41020603956325,2.078441157938869,HOLD
1186.9000244140625,1202.5999755859375,1185.199951171875,1199.0999755859375,93,1193.3019995117188,41.49278647859064,0.9729781596345219,HOLD
1194.4000244140625,1197.0,1186.0999755859375,1187.199951171875,331,1192.5580004882813,47.397916300162244,0.6926173974100038,HOLD
1175.199951171875,1194.699951171875,1174.5999755859375,1192.300048828125,52,1191.6819995117187,32.832272139484616,-1.063040419007848,HOLD
1203.300048828125,1206.699951171875,1181.4000244140625,1182.300048828125,194,1191.3460009765624,47.508559496520796,-0.18956143181685547,HOLD
